,name,details.link,details.line,details.Layout,details.latitude,details.longitude
207,Sukhdev Vihar,https://en.wikipedia.org/wiki/Sukhdev_Vihar_metro_station,Magenta Line,Elevated,28.559758,77.274702
208,Sultanpur,https://en.wikipedia.org/wiki/Sultanpur_(Delhi_Metro),Yellow Line,Elevated,28.49926,77.161368
209,Supreme Court,https://en.wikipedia.org/wiki/Supreme_Court_metro_station,Blue Line,Elevated,28.62349,77.242523
210,Tagore Garden,https://en.wikipedia.org/wiki/Tagore_Garden_(Delhi_Metro),Blue Line,Elevated,28.643688,77.112914
211,Terminal 1-IGI Airport,https://en.wikipedia.org/wiki/Terminal_1-IGI_Airport_metro_station,Magenta Line,Underground,28.5653,77.122381
212,Tikri Border,https://en.wikipedia.org/wiki/Tikri_Border_metro_station,Green Line,Elevated,28.687978,76.964168
213,Tikri Kalan,https://en.wikipedia.org/wiki/Tikri_Kalan_metro_station,Green Line,Underground,28.686902,76.977395
214,Tilak Nagar,https://en.wikipedia.org/wiki/Tilak_Nagar_(Delhi_Metro),Blue Line,Elevated,28.636645,77.096364
215,Tis Hazari,https://en.wikipedia.org/wiki/Tis_Hazari_(Delhi_Metro),Red Line,Elevated,28.667216,77.216517
216,Trilokpuri Sanjay Lake,https://en.wikipedia.org/wiki/Trilokpuri_metro_station,Pink Line,Elevated,28.6136059,77.3082796
217,Tughlakabad Station,https://en.wikipedia.org/wiki/Tughlakabad_(Delhi_Metro),Violet Line,Elevated,28.5025526,77.2989335
218,Udyog Bhawan,https://en.wikipedia.org/wiki/Udyog_Bhawan_(Delhi_Metro),Yellow Line,Underground,28.6110187,77.2111498
219,Udyog Nagar,https://en.wikipedia.org/wiki/Udyog_Nagar_(Delhi_Metro),Green Line,Elevated,28.680994,77.080775
220,Uttam Nagar East,https://en.wikipedia.org/wiki/Uttam_Nagar_East_(Delhi_Metro),Blue Line,Elevated,28.624424,77.065058
221,Uttam Nagar West,https://en.wikipedia.org/wiki/Uttam_Nagar_West_(Delhi_Metro),Blue Line,Elevated,28.621856,77.05626
222,Vaishali,https://en.wikipedia.org/wiki/Vaishali_(Delhi_Metro),Blue Line branch,Elevated,28.6496868,77.3384247
223,Vasant Vihar,https://en.wikipedia.org/wiki/Vasant_Vihar_metro_station,Magenta Line,Underground,28.557829,77.1611527
224,Vidhan Sabha,https://en.wikipedia.org/wiki/Vidhan_Sabha_(Delhi_Metro),Yellow Line,Underground,28.687858,77.221779
225,Vinobapuri,https://en.wikipedia.org/wiki/Vinobapuri_metro_station,Pink Line,Underground,28.5659703,77.2484546
226,Vishwa Vidyalaya,https://en.wikipedia.org/wiki/Vishwa_Vidyalaya_(Delhi_Metro),Yellow Line,Underground,28.694813,77.214596
227,Welcome,https://en.wikipedia.org/wiki/Welcome_(Delhi_Metro),Red Line,At Grade,28.67205,77.277934
228,Yamuna Bank,https://en.wikipedia.org/wiki/Yamuna_Bank_(Delhi_Metro),Blue Line,At-Grade,28.620999,77.260113
